LSOA21CD,IMD_Decile,group_key,accessibility_score,group,imd
E01000872,4,older_walk_index,61.7333333333333,Older adults,4
E01000873,9,older_walk_index,33.7333333333333,Older adults,9
E01000874,10,older_walk_index,60,Older adults,10
E01000875,4,older_walk_index,42,Older adults,4
E01000876,3,older_walk_index,33.3333333333333,Older adults,3
E01000877,8,older_walk_index,39.2,Older adults,8
E01000878,10,older_walk_index,22.5333333333333,Older adults,10
E01000879,10,older_walk_index,41.0666666666667,Older adults,10
E01000880,9,older_walk_index,22.5333333333333,Older adults,9
E01000881,7,older_walk_index,31.7333333333333,Older adults,7
E01000882,10,older_walk_index,33.4666666666667,Older adults,10
E01000883,8,older_walk_index,51.7333333333333,Older adults,8
E01000884,10,older_walk_index,16.0666666666667,Older adults,10
E01000885,9,older_walk_index,7.73333333333334,Older adults,9
E01000886,8,older_walk_index,47.8666666666667,Older adults,8
E01000887,7,older_walk_index,69.2,Older adults,7
E01000888,6,older_walk_index,49.6666666666667,Older adults,6
E01000889,3,older_walk_index,35,Older adults,3
E01000890,2,older_walk_index,32.8666666666667,Older adults,2
E01000891,2,older_walk_index,55.4666666666667,Older adults,2
E01000892,6,older_walk_index,50.4666666666667,Older adults,6
E01000893,10,older_walk_index,22.2,Older adults,10
E01000894,9,older_walk_index,26.7333333333333,Older adults,9
E01000895,9,older_walk_index,53.9333333333333,Older adults,9
E01000896,10,older_walk_index,61.6666666666667,Older adults,10
E01000897,10,older_walk_index,45.1333333333334,Older adults,10
E01000898,7,older_walk_index,66.9333333333333,Older adults,7
E01000899,9,older_walk_index,15.4,Older adults,9
E01000900,4,older_walk_index,61.3333333333333,Older adults,4
E01000901,3,older_walk_index,54.5333333333333,Older adults,3
E01000902,2,older_walk_index,38.7333333333333,Older adults,2
E01000903,5,older_walk_index,37.8,Older adults,5
E01000904,4,older_walk_index,70.5333333333334,Older adults,4
E01000905,2,older_walk_index,71.4,Older adults,2
E01000906,8,older_walk_index,51.0666666666667,Older adults,8
E01000907,2,older_walk_index,31.8,Older adults,2
