LSOA21CD,LSOA21NM,Total,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 15 years,Aged 16 to 19 years,Aged 20 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 to 74 years,Aged 75 to 84 years,Aged 85 years and over
E01000102,Barking and Dagenham 007G,1783,130,147,211,95,94,226,430,279,96,51,24
E01000103,Barking and Dagenham 014A,1779,117,137,202,114,122,276,364,306,94,39,8
E01000104,Barking and Dagenham 014B,1918,157,154,215,109,106,306,392,332,80,56,11
E01000105,Barking and Dagenham 014C,2336,186,190,214,98,121,340,592,367,134,67,27
E01000106,Barking and Dagenham 014D,2207,220,184,225,99,116,359,452,343,114,59,36
E01000107,Barking and Dagenham 010C,1786,121,138,157,97,105,228,372,291,131,98,48
E01000108,Barking and Dagenham 010D,1914,178,147,159,90,127,308,400,303,108,66,28
E01000110,Barking and Dagenham 002C,1573,104,111,133,73,101,237,332,306,89,61,26
E01000111,Barking and Dagenham 002D,2159,213,154,174,120,133,345,396,381,105,100,38
E01000112,Barking and Dagenham 002E,1973,198,140,128,80,123,373,449,312,92,60,18
E01000113,Barking and Dagenham 002F,1995,139,154,180,123,131,322,459,311,103,51,22
E01000114,Barking and Dagenham 004E,2421,210,239,268,139,139,306,596,328,100,65,31
E01000115,Barnet 009A,1393,50,80,93,63,74,125,248,347,163,99,51
E01000116,Barnet 009B,1748,86,126,175,85,88,135,394,344,177,103,35
E01000117,Barnet 010A,1733,93,109,133,63,80,182,358,355,185,115,60
E01000118,Barnet 010B,2050,89,128,190,92,116,215,459,433,179,103,46
E01000119,Barnet 009C,1797,65,105,160,77,86,183,370,409,154,134,54
E01000120,Barnet 009D,1496,40,93,138,75,80,143,296,331,151,106,43
E01000121,Barnet 010C,1478,62,76,131,77,130,191,279,349,87,53,43
E01000122,Barnet 009E,1510,64,80,163,83,70,127,340,321,148,82,32
E01000123,Barnet 010D,1762,104,104,128,52,69,266,453,353,145,67,21
E01000124,Barnet 010E,1865,112,139,150,71,103,274,474,338,120,55,29
E01000126,Barnet 026A,2272,139,145,176,132,202,361,518,450,95,41,13
E01000127,Barnet 024B,1556,101,110,150,68,93,195,358,316,115,27,23
E01000128,Barnet 024C,2051,111,144,188,124,130,285,473,379,132,63,22
E01000129,Barnet 024D,1602,87,111,143,82,113,231,390,258,107,60,20
E01000130,Barnet 021A,1937,117,124,166,92,126,284,521,310,130,60,7
E01000131,Barnet 024E,2023,162,126,132,59,146,378,444,315,138,84,39
E01000132,Barnet 021B,1620,127,112,173,83,114,234,344,319,62,45,7
E01000133,Barnet 021C,1645,93,120,156,87,86,231,396,304,110,44,18
E01000134,Barnet 024F,1825,151,122,133,100,152,311,386,289,103,49,29
E01000135,Barnet 038A,1700,99,94,119,62,99,232,367,293,151,98,86
E01000136,Barnet 038B,1487,59,105,150,57,53,144,299,300,161,98,61
E01000137,Barnet 041A,1657,102,120,189,76,93,259,362,277,105,53,21
E01000138,Barnet 040A,1617,83,97,106,65,86,252,385,317,142,66,18
E01000139,Barnet 041B,1389,62,72,106,49,81,230,305,257,120,78,29
E01000140,Barnet 041C,1958,114,106,112,66,125,430,473,333,86,78,35
E01000141,Barnet 039A,1865,97,92,109,70,157,351,481,335,116,43,14
E01000142,Barnet 040B,2236,147,127,155,84,133,357,571,372,159,88,43
E01000143,Barnet 041D,1670,169,84,105,94,136,323,357,254,81,53,14
E01000144,Barnet 038C,1661,103,98,110,52,98,330,444,231,115,52,28
E01000145,Barnet 037A,1611,108,144,181,83,111,206,306,221,121,64,66
E01000146,Barnet 038D,1871,78,99,106,59,159,385,488,276,115,61,45
E01000147,Barnet 043F,1913,110,93,102,87,137,342,410,348,140,102,42
E01000150,Barnet 036A,2251,140,130,195,103,139,347,512,375,174,100,36
E01000151,Barnet 026B,1719,140,181,193,134,90,246,383,254,55,34,9
E01000152,Barnet 026C,2690,237,197,278,112,169,487,705,368,95,39,3
E01000153,Barnet 026D,1932,132,142,167,117,118,259,481,307,132,61,16
E01000154,Barnet 026E,1915,136,110,139,81,148,384,468,284,90,62,13
E01000156,Barnet 022A,2029,114,176,206,91,75,244,535,370,121,71,26
E01000157,Barnet 022B,1584,99,113,152,53,64,177,464,275,109,53,25
E01000158,Barnet 015A,1468,69,99,135,58,63,204,326,311,127,62,14
E01000159,Barnet 015B,1785,79,98,142,85,106,198,380,397,166,96,38
E01000160,Barnet 015C,1953,112,133,132,96,83,317,531,348,150,43,8
E01000161,Barnet 015D,2035,127,127,153,102,83,259,537,340,147,95,65
E01000162,Barnet 015E,1650,69,92,128,75,77,211,318,307,184,86,103
E01000163,Barnet 022C,1687,122,102,135,69,86,277,469,288,80,47,12
E01000164,Barnet 022D,1712,108,125,137,88,105,238,397,329,123,46,16
E01000165,Barnet 022E,1810,113,95,136,95,95,204,416,364,158,93,41
E01000166,Barnet 003A,1618,108,95,111,64,89,176,341,321,161,108,44
E01000167,Barnet 002A,1389,73,88,128,59,72,177,301,321,104,52,14
E01000168,Barnet 003B,1514,52,70,114,73,61,152,271,350,190,120,61
E01000169,Barnet 003C,1630,96,100,125,53,75,246,355,323,150,81,26
E01000170,Barnet 006A,1907,115,130,150,142,109,244,406,386,123,73,29
E01000171,Barnet 006B,2292,250,154,155,92,101,425,570,383,96,50,16
E01000172,Barnet 003D,1690,150,112,106,66,72,244,332,315,143,96,54
E01000173,Barnet 006C,1691,83,121,187,83,95,145,379,348,154,74,22
E01000174,Barnet 006D,1762,124,125,132,66,124,217,406,324,135,80,29
E01000175,Barnet 006E,2031,179,146,196,58,123,252,457,332,163,91,34
E01000176,Barnet 027A,1722,78,80,86,112,161,212,311,325,196,132,29
E01000177,Barnet 029A,1663,112,113,160,51,51,252,430,260,142,68,24
E01000178,Barnet 027B,1673,88,114,163,81,79,189,359,350,136,71,43
E01000179,Barnet 029B,1791,179,102,106,44,62,321,531,296,76,66,8
E01000180,Barnet 029C,1613,86,93,133,59,67,283,346,270,141,91,44
E01000181,Barnet 029D,1691,68,97,122,49,63,329,403,304,140,95,21
E01000182,Barnet 029E,1617,67,85,109,63,65,257,391,318,120,101,41
E01000183,Barnet 033A,1519,98,119,103,48,47,177,339,254,133,129,72
E01000184,Barnet 027C,1878,91,115,155,108,181,319,395,335,96,65,18
E01000185,Barnet 029F,1474,52,83,106,84,85,274,329,272,98,77,14
E01000186,Barnet 014A,1770,113,155,191,92,124,171,331,273,188,94,38
E01000187,Barnet 014B,1738,136,162,186,73,72,193,297,291,163,116,49
E01000188,Barnet 014C,1578,74,131,168,87,65,134,288,290,205,97,39
E01000189,Barnet 014D,2470,218,187,165,106,151,498,675,337,84,37,12
E01000190,Barnet 014E,1732,83,127,174,94,92,179,341,311,182,97,52
E01000191,Barnet 014F,1549,85,112,156,73,67,151,303,234,188,107,73
E01000192,Barnet 018A,1994,142,139,167,71,99,279,414,320,182,105,76
E01000193,Barnet 018B,1950,110,110,141,87,146,315,423,316,157,93,52
E01000194,Barnet 018C,1905,123,157,174,82,98,313,450,274,140,62,32
E01000195,Barnet 013A,2018,123,182,197,98,121,320,436,340,124,59,18
E01000196,Barnet 028A,2124,119,101,83,36,102,439,628,301,125,113,77
E01000197,Barnet 023A,1851,117,119,122,46,93,331,467,317,119,96,24
E01000198,Barnet 025A,2193,171,169,238,96,111,284,490,304,186,99,45
E01000199,Barnet 025B,1579,88,108,97,68,67,149,303,275,185,160,79
E01000200,Barnet 028B,1978,114,118,128,71,79,234,411,319,244,162,98
E01000201,Barnet 028C,1539,68,114,130,82,72,123,297,265,216,122,50
E01000202,Barnet 028D,1673,104,92,123,59,95,240,330,336,139,104,51
E01000203,Barnet 028E,1842,107,132,132,94,122,254,385,361,129,92,34
E01000204,Barnet 025C,1700,85,121,102,66,85,214,375,285,193,128,46
E01000205,Barnet 035A,1507,110,118,112,45,62,125,366,276,144,119,30
E01000206,Barnet 033B,1505,43,80,144,82,66,155,259,345,162,123,46
E01000207,Barnet 033C,1581,78,106,141,62,58,163,301,269,175,159,69
E01000208,Barnet 033D,1630,104,104,114,56,58,199,379,293,162,109,52
E01000209,Barnet 035B,1483,96,78,70,37,46,107,285,258,223,180,103
E01000210,Barnet 033E,1550,108,139,130,71,54,191,374,260,114,61,48
E01000211,Barnet 035C,2128,141,122,141,80,135,399,576,283,118,75,58
E01000212,Barnet 035D,1350,54,75,101,52,58,182,286,251,136,110,45
E01000213,Barnet 033F,1351,69,94,159,82,79,95,253,288,128,79,25
E01000214,Barnet 038E,1626,71,72,95,57,74,297,408,309,123,76,44
E01000215,Barnet 037B,2144,259,223,234,122,117,323,360,192,146,105,63
E01000216,Barnet 035E,1978,148,165,195,83,126,327,396,275,142,79,42
E01000217,Barnet 035F,1785,167,169,204,82,94,262,365,229,112,76,25
E01000218,Barnet 037C,1842,171,183,190,94,121,308,306,260,96,63,50
E01000219,Barnet 037D,2196,257,251,215,79,141,391,408,257,102,70,25
E01000220,Barnet 037E,1888,205,135,174,59,113,303,331,249,136,83,100
E01000221,Barnet 039B,1413,90,121,156,82,85,191,338,234,78,30,8
E01000222,Barnet 040C,2042,112,124,185,98,151,323,458,387,117,64,23
E01000223,Barnet 039C,2030,127,167,205,105,120,331,463,354,103,39,16
E01000224,Barnet 040D,1693,100,116,151,92,95,242,386,279,127,66,39
E01000225,Barnet 037F,1869,148,213,269,112,83,184,357,218,150,87,48
E01000226,Barnet 018D,1735,86,114,165,91,129,237,415,306,119,50,23
E01000227,Barnet 018E,1869,96,142,136,87,94,235,388,339,183,95,74
E01000228,Barnet 007A,1436,46,99,157,91,82,157,292,306,119,65,22
E01000229,Barnet 013B,1671,93,116,171,81,91,233,358,316,127,51,34
E01000230,Barnet 013C,1958,174,182,170,73,93,234,331,289,189,139,84
E01000231,Barnet 013D,1783,92,122,171,86,102,238,367,390,124,56,35
E01000232,Barnet 013E,1867,92,148,144,66,109,184,430,338,175,122,59
E01000233,Barnet 013F,1938,136,150,132,81,102,269,427,379,141,102,19
E01000234,Barnet 021D,1785,130,153,139,43,81,259,454,266,146,82,32
E01000235,Barnet 021E,1862,94,108,160,113,165,275,406,372,108,42,19
E01000236,Barnet 034A,1954,234,167,153,75,162,361,377,197,124,70,34
E01000237,Barnet 032A,2097,140,139,167,95,190,413,483,256,112,64,38
E01000238,Barnet 034B,2092,172,188,219,100,236,313,424,248,103,61,28
E01000239,Barnet 031A,2057,138,111,110,67,198,406,561,280,137,36,13
E01000240,Barnet 031B,1733,95,104,98,69,131,286,339,318,184,75,34
E01000241,Barnet 031C,1788,99,118,137,73,111,264,409,306,149,93,29
E01000242,Barnet 032B,1602,105,126,156,79,88,185,285,279,142,96,61
E01000243,Barnet 032C,2163,150,134,141,71,264,483,438,259,105,78,40
E01000244,Barnet 032D,1641,75,78,108,96,203,279,341,245,109,67,40
E01000245,Barnet 032E,2055,130,96,145,98,179,436,442,351,99,58,21
E01000246,Barnet 002B,1520,85,80,103,46,51,165,322,333,180,102,53
E01000247,Barnet 002C,1694,105,105,116,66,68,205,426,387,127,66,23
E01000248,Barnet 001A,1700,109,85,118,60,62,175,368,360,177,113,73
E01000249,Barnet 001B,1609,92,94,121,47,83,160,318,350,209,83,52
E01000250,Barnet 001C,2610,136,145,155,117,146,376,624,504,226,120,61
E01000251,Barnet 002D,2265,139,116,163,116,131,393,507,366,185,103,46
E01000252,Barnet 002E,1716,96,98,100,47,72,231,404,374,167,85,42
E01000253,Barnet 007B,1982,124,138,125,79,79,217,377,395,208,154,86
E01000254,Barnet 001D,1598,65,95,127,55,74,153,302,362,177,124,64
E01000255,Barnet 017A,1701,91,99,137,99,127,206,342,322,142,99,37
E01000256,Barnet 016A,1929,128,109,236,87,96,195,453,316,169,108,32
E01000257,Barnet 017B,2090,158,135,138,81,84,448,500,303,122,48,73
E01000258,Barnet 016B,1892,108,94,126,69,83,251,388,382,181,141,69
E01000259,Barnet 025D,2644,181,169,204,118,145,371,585,481,195,133,62
E01000260,Barnet 025E,2169,172,144,149,70,131,348,542,372,131,74,36
E01000261,Barnet 017C,1768,73,91,153,195,61,161,293,304,201,177,59
E01000263,Barnet 016C,1527,104,104,141,75,89,131,279,353,144,68,39
E01000264,Barnet 016D,1822,144,101,119,85,110,289,449,304,124,81,16
E01000265,Barnet 011A,1921,135,141,143,78,87,280,481,327,136,82,31
E01000266,Barnet 011B,1436,67,80,112,65,78,134,265,320,170,105,40
E01000267,Barnet 005A,1526,86,85,103,56,83,185,324,341,153,72,38
E01000268,Barnet 005B,2077,145,144,135,92,104,355,547,293,135,85,42
E01000269,Barnet 005C,1385,64,85,98,47,63,144,274,341,132,88,49
E01000270,Barnet 005D,1546,85,89,109,73,56,179,323,349,135,103,45
