LSOA21CD,LSOA21NM,borough_name,group,grid_mean_mismatch,grid_mean_lisa_cluster_analytical,grid_local_moran_i_permutation,grid_local_moran_p_permutation,grid_local_moran_q_bh,grid_mean_lisa_cluster_fdr
E01000074,Barking and Dagenham 012C,Barking and Dagenham,older_adults,0.407766615951375,Not significant,0.0750455281394944,0.2473,0.322965690376569,Not significant
E01000075,Barking and Dagenham 012D,Barking and Dagenham,older_adults,-0.739365184542578,Not significant,-0.0862816846712637,0.2861,0.356251234721876,Not significant
E01000076,Barking and Dagenham 012E,Barking and Dagenham,older_adults,0.336214977655663,Not significant,-0.000837694784708583,0.4966,0.498296924623116,Not significant
E01000077,Barking and Dagenham 008F,Barking and Dagenham,older_adults,0.377494462236105,Not significant,0.0677660329823617,0.2115,0.292873231622746,Not significant
E01000078,Barking and Dagenham 007B,Barking and Dagenham,older_adults,0.627438006398284,Not significant,0.0937296974459892,0.2664,0.339293037490436,Not significant
E01000079,Barking and Dagenham 009E,Barking and Dagenham,older_adults,1.2335314176726,Not significant,0.188645889495111,0.2786,0.349879547169811,Not significant
E01000080,Barking and Dagenham 007C,Barking and Dagenham,older_adults,0.259628465611927,Not significant,0.0412496954011569,0.2748,0.346589590702375,Not significant
E01000081,Barking and Dagenham 007D,Barking and Dagenham,older_adults,0.665442439239755,Not significant,0.194975070542426,0.1199,0.199380679546969,Not significant
E01000082,Barking and Dagenham 007E,Barking and Dagenham,older_adults,-0.445653812580412,Not significant,-0.078045844446724,0.2449,0.321298501971091,Not significant
E01000083,Barking and Dagenham 007F,Barking and Dagenham,older_adults,1.15966427753933,Not significant,0.251379463722331,0.2091,0.290678696741855,Not significant
E01000084,Barking and Dagenham 013D,Barking and Dagenham,older_adults,-1.50378774383701,Not significant,0.113197463963174,0.3662,0.414998955732123,Not significant
E01000085,Barking and Dagenham 013E,Barking and Dagenham,older_adults,-0.780293009167045,Not significant,0.160879915791292,0.2297,0.309574082073434,Not significant
E01000086,Barking and Dagenham 013F,Barking and Dagenham,older_adults,-0.389818055057539,Not significant,0.0447649598482634,0.3447,0.398873991655077,Not significant
E01000087,Barking and Dagenham 020B,Barking and Dagenham,older_adults,0.0916546455946844,Not significant,-0.00896864481684631,0.3553,0.406522484528994,Not significant
E01000088,Barking and Dagenham 020C,Barking and Dagenham,older_adults,-0.633353148481301,Not significant,0.034933261572509,0.4098,0.445399869366427,Not significant
E01000089,Barking and Dagenham 020D,Barking and Dagenham,older_adults,-0.325388343602486,Not significant,0.00648776354537471,0.4912,0.495367757575758,Not significant
E01000090,Barking and Dagenham 020E,Barking and Dagenham,older_adults,0.0423559834387781,Not significant,-0.00403357826003974,0.343,0.39764421737111,Not significant
E01000091,Barking and Dagenham 022A,Barking and Dagenham,older_adults,-0.401661416382893,Not significant,0.139844328747127,0.127,0.208068263866098,Not significant
E01000093,Barking and Dagenham 022B,Barking and Dagenham,older_adults,-0.613845606772745,Not significant,0.128077466169312,0.1823,0.267344770857814,Not significant
E01000094,Barking and Dagenham 022C,Barking and Dagenham,older_adults,-0.844912888854598,Not significant,0.408180220790302,0.0228,0.0624342292923752,Not significant
E01000095,Barking and Dagenham 018E,Barking and Dagenham,older_adults,-0.204299667823896,Not significant,0.0200822161921038,0.3151,0.377122800287701,Not significant
E01000096,Barking and Dagenham 022D,Barking and Dagenham,older_adults,-0.753755963833713,Not significant,0.075871440183745,0.3363,0.392979775280899,Not significant
E01000097,Barking and Dagenham 023C,Barking and Dagenham,older_adults,0.837013029038447,Not significant,-0.0323216970240762,0.4643,0.478387120743034,Not significant
E01000098,Barking and Dagenham 023D,Barking and Dagenham,older_adults,0.252930135585203,Not significant,0.0484816644922657,0.2158,0.297096966354109,Not significant
E01000099,Barking and Dagenham 023E,Barking and Dagenham,older_adults,-1.3257542106814,Not significant,0.165462164738883,0.2917,0.360794449950446,Not significant
E01000100,Barking and Dagenham 004B,Barking and Dagenham,older_adults,-0.52079550775734,Not significant,0.0742482764364141,0.2939,0.36270674907293,Not significant
E01000101,Barking and Dagenham 004C,Barking and Dagenham,older_adults,-0.302626835560223,Not significant,0.0937077188249006,0.1267,0.207713103448276,Not significant
E01000102,Barking and Dagenham 007G,Barking and Dagenham,older_adults,0.421036166313341,Not significant,0.0219291716987985,0.4041,0.441608406304729,Not significant
